serial-number;device-identification;created;value-data-count;energy,Wh,inst-value,0,0,0;manufacturer-specific-ff-04,,inst-value,0,0,0;energy,Wh,inst-value,0,1,0;energy,Wh,inst-value,0,2,0;energy,Wh,inst-value,0,3,0;power,W,inst-value,0,0,0;manufacturer-specific-ff-01,,inst-value,0,0,0;manufacturer-specific-ff-07,,inst-value,0,0,0;manufacturer-specific-ff-02,,inst-value,0,0,0;voltage,V,inst-value,0,4,0;voltage,V,inst-value,0,0,0;manufacturer-specific-ff-12,,inst-value,0,1,0;manufacturer-specific-ff-13,,inst-value,0,2,0;manufacturer-specific-ff-14,,inst-value,0,3,0;manufacturer-specific,,inst-value,0,0,0
6033601;1069128;2017-08-12 00:00;0;10912200;5331;3570000;1588400;5753400;262;765;2729;960;409,3;235,4;798;347;75;
serial-number;device-identification;created;value-data-count;energy,Wh,inst-value,0,0,0;manufacturer-specific-ff-04,,inst-value,0,0,0;energy,Wh,inst-value,0,1,0;energy,Wh,inst-value,0,2,0;energy,Wh,inst-value,0,3,0;power,W,inst-value,0,0,0;manufacturer-specific-ff-01,,inst-value,0,0,0;manufacturer-specific-ff-07,,inst-value,0,0,0;manufacturer-specific-ff-02,,inst-value,0,0,0;voltage,V,inst-value,0,4,0;voltage,V,inst-value,0,0,0;manufacturer-specific-ff-12,,inst-value,0,1,0;manufacturer-specific-ff-13,,inst-value,0,2,0;manufacturer-specific-ff-14,,inst-value,0,3,0;manufacturer-specific,,inst-value,0,0,0
6033601;1069147;2017-08-12 00:00;0;4795900;5423;1118800;1168500;2508200;19,5;-207;284;-686;409;235,3;92;128;139;
serial-number;device-identification;created;value-data-count;energy,Wh,inst-value,0,0,0;manufacturer-specific-ff-04,,inst-value,0,0,0;energy,Wh,inst-value,0,1,0;energy,Wh,inst-value,0,2,0;energy,Wh,inst-value,0,3,0;power,W,inst-value,0,0,0;manufacturer-specific-ff-01,,inst-value,0,0,0;manufacturer-specific-ff-07,,inst-value,0,0,0;manufacturer-specific-ff-02,,inst-value,0,0,0;voltage,V,inst-value,0,4,0;voltage,V,inst-value,0,0,0;manufacturer-specific-ff-12,,inst-value,0,1,0;manufacturer-specific-ff-13,,inst-value,0,2,0;manufacturer-specific-ff-14,,inst-value,0,3,0;manufacturer-specific,,inst-value,0,0,0
6033601;1069162;2017-08-12 00:00;0;11931700;8467;4510600;2895700;4525100;49,6;-1454;1536;-322;408,7;235,3;209;351;134;
serial-number;device-identification;created;value-data-count;energy,Wh,inst-value,0,0,0;manufacturer-specific-ff-04,,inst-value,0,0,0;energy,Wh,inst-value,0,1,0;energy,Wh,inst-value,0,2,0;energy,Wh,inst-value,0,3,0;power,W,inst-value,0,0,0;manufacturer-specific-ff-01,,inst-value,0,0,0;manufacturer-specific-ff-07,,inst-value,0,0,0;manufacturer-specific-ff-02,,inst-value,0,0,0;voltage,V,inst-value,0,4,0;voltage,V,inst-value,0,0,0;manufacturer-specific-ff-12,,inst-value,0,1,0;manufacturer-specific-ff-13,,inst-value,0,2,0;manufacturer-specific-ff-14,,inst-value,0,3,0;manufacturer-specific,,inst-value,0,0,0
6033601;1069211;2017-08-12 00:00;0;10332600;4810;1773100;1813000;6746100;7,9;-182;198;-398;409,1;235,4;197;172;58;
serial-number;device-identification;created;value-data-count;energy,Wh,inst-value,0,0,0;manufacturer-specific-ff-04,,inst-value,0,0,0;energy,Wh,inst-value,0,1,0;energy,Wh,inst-value,0,2,0;energy,Wh,inst-value,0,3,0;power,W,inst-value,0,0,0;manufacturer-specific-ff-01,,inst-value,0,0,0;manufacturer-specific-ff-07,,inst-value,0,0,0;manufacturer-specific-ff-02,,inst-value,0,0,0;voltage,V,inst-value,0,4,0;voltage,V,inst-value,0,0,0;manufacturer-specific-ff-12,,inst-value,0,1,0;manufacturer-specific-ff-13,,inst-value,0,2,0;manufacturer-specific-ff-14,,inst-value,0,3,0;manufacturer-specific,,inst-value,0,0,0
6033601;1069220;2017-08-12 00:00;0;5146800;5255;1811100;1036100;2299400;36,5;-1398;1444;-252;409;235,4;293;186;154;
